"Time (s)","Latitude (째)","Longitude (째)","Height (m)","Velocity (m/s)","Direction (째)","Horizontal Accuracy (m)","Vertical Accuracy (째)"
2.235239744E-1,5.562352293E1,1.238771669E1,5.000000000E-1,-1.000000000E0,-1.000000000E0,1.195690747E2,1.195690747E2
2.266429663E-1,5.562352294E1,1.238771670E1,5.000000000E-1,-1.000000000E0,-1.000000000E0,1.195690787E2,1.195690787E2
4.070290327E-1,5.562347847E1,1.238774105E1,5.000000000E-1,-1.000000000E0,-1.000000000E0,1.195824873E2,1.195824873E2
1.957722068E0,5.562337904E1,1.238774328E1,5.000000000E-1,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
7.463080049E0,5.562342843E1,1.238768127E1,5.000000000E-1,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.346463001E1,5.562341956E1,1.238770427E1,5.000000000E-1,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.492499709E1,5.562350731E1,1.238788404E1,5.234945276E0,3.405728817E0,7.109027276E1,5.432579307E1,5.432579307E1
1.592498922E1,5.562351347E1,1.238797163E1,8.156185713E0,4.592264175E0,7.600964554E1,4.639187395E1,4.639187395E1
1.692498267E1,5.562353046E1,1.238804484E1,8.116728220E0,4.592264175E0,7.406855008E1,4.644039072E1,4.644039072E1
1.792497492E1,5.562355551E1,1.238807831E1,8.009069600E0,4.592264175E0,6.160951771E1,4.626567362E1,4.626567362E1
1.892496741E1,5.562356765E1,1.238814171E1,7.843897447E0,4.389094353E0,6.251967392E1,4.734019251E1,4.734019251E1
1.992495978E1,5.562352373E1,1.238826622E1,7.797689615E0,5.212955475E0,8.408751462E1,4.672074710E1,4.672074710E1
2.592580700E1,5.562339340E1,1.238945172E1,7.871292838E0,1.018643570E1,9.049383420E1,5.354926369E1,5.354926369E1
2.692556202E1,5.562341246E1,1.238977697E1,5.489321737E0,1.220372105E1,9.044181922E1,7.754958951E1,7.754958951E1
2.792555523E1,5.562341161E1,1.238997068E1,5.489333457E0,1.220372105E1,9.044197910E1,7.754958951E1,7.754958951E1
2.892570662E1,5.562351204E1,1.239044023E1,5.687379786E0,1.220372105E1,8.585846710E1,6.261272295E1,6.261272295E1
2.992569995E1,5.562353456E1,1.239098974E1,7.218354880E0,1.630987358E1,8.585846710E1,4.608924727E1,4.608924727E1
3.092574883E1,5.562355258E1,1.239142959E1,8.663171546E0,1.953568840E1,8.585846710E1,4.446851372E1,4.446851372E1
3.192574155E1,5.562356958E1,1.239184445E1,9.179121935E0,2.048533821E1,8.585846710E1,4.323016584E1,4.323016584E1
3.292547679E1,5.562359452E1,1.239230814E1,9.399715660E0,2.165814972E1,8.456131744E1,4.142173177E1,4.142173177E1
3.392546880E1,5.562361551E1,1.239269941E1,9.383223830E0,2.106550026E1,8.463526917E1,4.086607512E1,4.086607512E1
3.492534399E1,5.562363441E1,1.239305514E1,9.359688259E0,2.120768929E1,8.463526917E1,3.993806681E1,3.993806681E1
3.592533636E1,5.562365290E1,1.239340306E1,9.381628455E0,2.120768929E1,8.463526917E1,5.259150086E1,5.259150086E1
3.692512906E1,5.562367544E1,1.239382718E1,9.358222672E0,2.332921600E1,8.463526917E1,5.250743319E1,5.250743319E1
3.792512167E1,5.562369526E1,1.239420028E1,9.479062736E0,2.380078316E1,8.463526917E1,3.894009003E1,3.894009003E1
3.892584813E1,5.562371527E1,1.239460772E1,9.242431085E0,2.380078316E1,8.587401581E1,3.934576848E1,3.934576848E1
3.992584062E1,5.562373715E1,1.239503588E1,7.926945339E0,2.484213638E1,8.559146118E1,3.854407707E1,3.854407707E1
4.092583382E1,5.562373611E1,1.239542511E1,6.965505519E0,2.578479195E1,8.565565491E1,3.763421604E1,3.763421604E1
4.192582560E1,5.562373978E1,1.239581877E1,6.478926726E0,2.578479195E1,8.565565491E1,3.694482787E1,3.694482787E1
4.292581868E1,5.562373288E1,1.239625199E1,7.043292854E0,2.559154892E1,8.982328796E1,3.561621738E1,3.561621738E1